serial	character	frequency	cumulative_frequency	pinyin	english
1	的	7922684	4.094325317834	de/di2/di4	(possessive particle)/of, really and truly, aim/clear
2	一	3050722	5.670893097424	yi1	one/1/single/a(n)
3	是	2615490	7.0225394492842	shi4	is/are/am/yes/to be
4	不	2237915	8.179060653924	bu4/bu2	(negative prefix)/not/no
5	了	2128528	9.2790522830384	le/liao3/liao4	(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place
6	在	2009181	10.317367156686	zai4	(located) at/in/exist
7	人	1867999	11.282721271452	ren2	man/person/people
8	有	1782004	12.203634448562	you3	to have/there is/there are/to exist/to be
9	我	1690048	13.077026131829	wo3	I/me/myself
10	他	1595761	13.901691695105	ta1	he/him
